,FECHA_MUESTRA,TIPO,DISPOSITIVO,GENERO,GRUPO_ETARIO,N
90,14DEC2020:00:00:00,testeos,Club San Lorenzo,F,40-49,16
91,14DEC2020:00:00:00,testeos,Club San Lorenzo,F,50-59,19
92,14DEC2020:00:00:00,testeos,Club San Lorenzo,F,60-69,21
93,14DEC2020:00:00:00,testeos,Club San Lorenzo,F,70-79,9
94,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,0-19,5
95,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,20-29,10
96,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,30-39,15
97,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,40-49,21
98,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,50-59,24
99,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,60-69,21
100,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,70-79,7
101,14DEC2020:00:00:00,testeos,Club San Lorenzo,M,80 y más,1
102,14DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,20
103,14DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,65
104,14DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,103
105,14DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,48
106,14DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,57
107,14DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,43
108,14DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,19
109,14DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,4
110,14DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,20
111,14DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,59
112,14DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,78
113,14DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,58
114,14DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,66
115,14DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,44
116,14DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,25
117,14DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,3
118,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,33
119,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,84
120,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,49
121,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,42
122,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,55
123,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,42
124,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,11
125,14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,80 y más,2
126,14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,27
127,14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,65
128,14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,53
129,14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,40
130,14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,30
131,14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,15
132,14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,6
133,14DEC2020:00:00:00,positivos,Callao | USAM,F,30-39,1
134,14DEC2020:00:00:00,positivos,CEC,M,20-29,2
135,14DEC2020:00:00:00,positivos,CEC,M,30-39,3
136,14DEC2020:00:00:00,positivos,CEC,M,50-59,1
137,14DEC2020:00:00:00,positivos,Edificio Munich,F,20-29,1
138,14DEC2020:00:00:00,positivos,Edificio Munich,F,60-69,1
139,14DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,3
140,14DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,2
141,14DEC2020:00:00:00,positivos,Terminal Dellepiane,F,30-39,1
142,14DEC2020:00:00:00,positivos,Terminal Dellepiane,M,0-19,2
143,14DEC2020:00:00:00,positivos,Terminal Dellepiane,M,20-29,2
144,14DEC2020:00:00:00,positivos,Terminal Dellepiane,M,50-59,1
145,15DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,14
146,15DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,29
147,15DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,47
148,15DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,45
149,15DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,39
150,15DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,26
151,15DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,15
152,09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,37
153,09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,26
154,09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,15
155,09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,8
156,09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,80 y más,1
157,09DEC2020:00:00:00,positivos,CEC,F,60-69,1
158,09DEC2020:00:00:00,positivos,Edificio Munich,F,30-39,1
159,09DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
160,09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,2
161,09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,30-39,1
162,09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,50-59,1
163,09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,60-69,1
164,10DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,8
165,10DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,58
166,10DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,59
167,10DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,32
168,10DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,17
169,10DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,15
170,10DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,4
171,10DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,3
172,10DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,35
173,10DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,36
174,10DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,29
175,10DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,14
176,10DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,10
177,10DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,3
178,10DEC2020:00:00:00,testeos,CEC,F,0-19,35
179,10DEC2020:00:00:00,testeos,CEC,F,20-29,87
180,10DEC2020:00:00:00,testeos,CEC,F,30-39,109
181,10DEC2020:00:00:00,testeos,CEC,F,40-49,101
182,10DEC2020:00:00:00,testeos,CEC,F,50-59,74
183,10DEC2020:00:00:00,testeos,CEC,F,60-69,50
184,10DEC2020:00:00:00,testeos,CEC,F,70-79,17
185,10DEC2020:00:00:00,testeos,CEC,F,80 y más,5
186,10DEC2020:00:00:00,testeos,CEC,M,0-19,26
187,10DEC2020:00:00:00,testeos,CEC,M,20-29,74
188,10DEC2020:00:00:00,testeos,CEC,M,30-39,88
189,10DEC2020:00:00:00,testeos,CEC,M,40-49,91
190,10DEC2020:00:00:00,testeos,CEC,M,50-59,75
